material_a,material_b,ground_truth,reason,critical_conflict,category
BUS-MTR-48520,BUS-B-44C77426,RELATED,"Same category/mfg, different size/specs",NONE,CAT-MTR
CPI-GSK-48694,CPI-B-CA9D254E,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-GSK
NEC-DUP-48021,NEC-B-F99AEFE7,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-LUB
CPI-CFL-29836,CPI-B-42A2FBE6,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-GSK
BUS-BRG-70878,BUS-B-991FF0AC,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
NEC-BRG-91420,NEC-B-46384DFE,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
GME-PPE-61856,GME-B-18A142C5,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-PPE
AHM-PMP-59363,AHM-B-EF1DD824,RELATED,"Same category/mfg, different size/specs",NONE,CAT-PMP
BUS-PPE-43426,BUS-B-9FDE0A09,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-PPE
NEC-FLG-90192,NEC-B-5418CF98,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-FLG
GME-DUP-25502,GME-B-4EBA10C9,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-PIP
AHM-GSK-44608,AHM-B-0CD034EA,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-GSK
BUS-LUB-19555,BUS-B-ABFFBF36,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-LUB
GME-ELC-58263,GME-B-87787ACB,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-ELC
AHM-BRG-46749,AHM-B-28C15542,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
NEC-ELC-41346,NEC-B-AC6CC91D,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-ELC
BUS-CBL-13689,BUS-B-69BD2608,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-CBL
GME-INS-64854,GME-B-DCFC2D80,RELATED,"Same category/mfg, different size/specs",NONE,CAT-INS
NEC-FLG-41020,NEC-B-87B1D541,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-FLG
NEC-ELC-46871,NEC-B-837EEAA1,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-ELC
GME-CFL-35600,GME-B-FCC013BF,RELATED,"Same category/mfg, different size/specs",NONE,CAT-INS
AHM-MTR-78934,AHM-B-32F5B4E6,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-MTR
NEC-VLV-79479,NEC-B-7458671D,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-VLV
AHM-DUP-21944,AHM-B-1A458402,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-INS
AHM-FST-30337,AHM-B-B42AEB51,RELATED,"Same category/mfg, different size/specs",NONE,CAT-FST
BUS-DUP-99061,BUS-B-46A9351B,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-LUB
NEC-GSK-75878,NEC-B-DC0779EB,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-GSK
AHM-DUP-52076,AHM-B-0E964615,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-FST
CPI-PIP-39694,CPI-B-753F3E1B,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-PIP
GME-BRG-77792,GME-B-C2AE6879,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
CPI-BRG-16468,CPI-B-394515C3,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
BUS-BRG-38217,BUS-B-41D31E06,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
BUS-FST-19567,BUS-B-D8289468,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-FST
GME-LUB-58652,GME-B-F61B9564,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-LUB
GME-MTR-15824,GME-B-012F10C5,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-MTR
BUS-CFL-56500,BUS-B-CD776417,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-INS
GME-PIP-77350,GME-B-03FCC760,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-PIP
BUS-LUB-44950,BUS-B-9966A53C,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-LUB
BUS-GSK-25509,BUS-B-6F3FB2EF,RELATED,"Same category/mfg, different size/specs",NONE,CAT-GSK
CPI-LUB-55384,CPI-B-BBA61EA1,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-LUB
BUS-BRG-61983,BUS-B-D2421911,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-BRG
GME-PIP-94315,GME-B-07A349EE,RELATED,"Same category/mfg, different size/specs",NONE,CAT-PIP
AHM-INS-41157,AHM-B-F84819CD,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-INS
CPI-FST-29259,CPI-B-E750A3EE,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-FST
NEC-CBL-12124,NEC-B-F4D0A5DA,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-CBL
AHM-BRG-33590,AHM-B-EFDDC3C1,RELATED,"Same category/mfg, different size/specs",NONE,CAT-BRG
AHM-MTR-83940,AHM-B-61F1844B,RELATED,"Same category/mfg, different size/specs",NONE,CAT-MTR
NEC-BRG-98395,NEC-B-5DDEF5FB,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
NEC-MTR-85592,NEC-B-309F613C,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-MTR
GME-INS-92412,GME-B-EECE3797,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-INS
NEC-FLG-78241,NEC-B-EE8E2F1F,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-FLG
NEC-MTR-82466,NEC-B-2002E583,NOT_EQUIVALENT,"Same category, critical attribute conflict",voltage,CAT-MTR
GME-ELC-12820,GME-B-095EA83A,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-ELC
NEC-FLG-72023,NEC-B-A5B9B616,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-FLG
GME-INS-23826,GME-B-7A8E7D6B,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-INS
GME-VLV-72761,GME-B-25B20F08,NOT_EQUIVALENT,"Same category, critical attribute conflict",size,CAT-VLV
BUS-DUP-79494,BUS-B-510B4256,RELATED,"Same category/mfg, different size/specs",NONE,CAT-PIP
NEC-INS-90671,NEC-B-6127978A,RELATED,"Same category/mfg, different size/specs",NONE,CAT-INS
AHM-INS-17077,AHM-B-5AA50D84,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-INS
CPI-CFL-30849,CPI-B-2EF78B7E,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
GME-BRG-97143,GME-B-4E92E34D,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-BRG
BUS-DUP-36336,BUS-B-B62786F6,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-LUB
NEC-INS-59245,NEC-B-7727373C,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-INS
NEC-FST-61006,NEC-B-A43760AD,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-FST
AHM-PMP-88450,AHM-B-8F0BC0A0,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-PMP
GME-FST-99101,GME-B-B52132BF,RELATED,"Same category/mfg, different size/specs",NONE,CAT-FST
AHM-ELC-11503,AHM-B-9EC7046F,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-ELC
BUS-DUP-36434,BUS-B-957888F4,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-FST
GME-FST-79950,GME-B-C5BC1520,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-FST
AHM-CBL-68812,AHM-B-DF7FFA19,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-CBL
CPI-CBL-16228,CPI-B-E65A331E,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-CBL
BUS-DUP-38184,BUS-B-301310E8,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-PIP
NEC-FLG-58062,NEC-B-25374166,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-FLG
BUS-BRG-13704,BUS-B-C949CB4B,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
AHM-PMP-28871,AHM-B-ADF2090D,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-PMP
AHM-ELC-78203,AHM-B-850D7A2D,RELATED,"Same category/mfg, different size/specs",NONE,CAT-ELC
NEC-BRG-76253,NEC-B-AE544FEB,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
BUS-CFL-56500,BUS-B-0D9CE7D8,RELATED,"Same category/mfg, different size/specs",NONE,CAT-INS
BUS-DUP-40787,BUS-B-E939CEB0,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-ELC
BUS-PIP-68995,BUS-B-430186ED,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-PIP
BUS-GSK-79493,BUS-B-1811AAE3,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-GSK
GME-BRG-64627,GME-B-B16AF002,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
AHM-CBL-38657,AHM-B-9CFCB914,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-CBL
CPI-PIP-63217,CPI-B-841CD46E,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-PIP
AHM-DUP-52821,AHM-B-76CE3B1B,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-LUB
AHM-ELC-75576,AHM-B-DEAA8F12,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-ELC
NEC-PIP-70509,NEC-B-1707BAE6,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-PIP
CPI-INS-21360,CPI-B-7AA95707,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-INS
BUS-GSK-94835,BUS-B-18A6CA38,RELATED,"Same category/mfg, different size/specs",NONE,CAT-GSK
BUS-BRG-33532,BUS-B-47799448,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-BRG
GME-PIP-49844,GME-B-41D2AF91,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-PIP
CPI-GSK-67682,CPI-B-129C7739,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-GSK
GME-BRG-16195,GME-B-A2098127,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
GME-CBL-19886,GME-B-2EBD125E,RELATED,"Same category/mfg, different size/specs",NONE,CAT-CBL
BUS-PIP-84715,BUS-B-93C6DDC4,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-PIP
CPI-LUB-39149,CPI-B-5731394A,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-LUB
GME-FLG-40937,GME-B-EB61E1BA,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-FLG
GME-FLG-48518,GME-B-74B218D2,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-FLG
GME-LUB-98179,GME-B-CD221FC4,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-LUB
NEC-ELC-53184,NEC-B-3DA96F66,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-ELC
BUS-FST-80819,BUS-B-8B3BA898,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-FST
BUS-FLG-80116,BUS-B-FC2CEEE2,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-FLG
CPI-BRG-23769,CPI-B-E4071390,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
CPI-DUP-39239,CPI-B-8AECEF63,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-BRG
GME-BRG-87376,GME-B-EAF41071,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
BUS-VLV-37705,BUS-B-BEE57A9D,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-VLV
NEC-FST-41216,NEC-B-D6AAE41E,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-FST
CPI-INS-42628,CPI-B-E529C10E,RELATED,"Same category/mfg, different size/specs",NONE,CAT-INS
CPI-FST-40587,CPI-B-012E5111,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-FST
NEC-ELC-93851,NEC-B-82D972A3,RELATED,"Same category/mfg, different size/specs",NONE,CAT-ELC
BUS-DUP-75425,BUS-B-608DF737,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-LUB
CPI-CFL-40866,CPI-B-2690E690,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-BRG
BUS-DUP-80352,BUS-B-0AF4D706,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-INS
CPI-DUP-65311,CPI-B-F799C8FB,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
CPI-INS-90372,CPI-B-65E03967,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-INS
AHM-INS-34865,AHM-B-5204FCD1,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-INS
GME-DUP-17526,GME-B-F4AD51A5,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-PPE
AHM-INS-51442,AHM-B-389F914E,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-INS
BUS-GSK-75180,BUS-B-540BB2A0,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-GSK
AHM-FLG-15677,AHM-B-90328B3E,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-FLG
GME-INS-64158,GME-B-FDE7D47A,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-INS
GME-FLG-83814,GME-B-9AA548BD,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-FLG
GME-DUP-46364,GME-B-CCCDC0A9,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-GSK
GME-DUP-97368,GME-B-B6D08EDB,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-VLV
CPI-MTR-48818,CPI-B-FA3FF945,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-MTR
AHM-DUP-61442,AHM-B-20CF49AA,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
CPI-CFL-64323,CPI-B-A977C523,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-FLG
NEC-PPE-48242,NEC-B-3A0F82AB,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-PPE
NEC-PPE-87091,NEC-B-78AE4F35,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-PPE
NEC-GSK-89447,NEC-B-4F821DCA,RELATED,"Same category/mfg, different size/specs",NONE,CAT-GSK
AHM-PIP-51724,AHM-B-5E389167,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-PIP
BUS-BRG-53133,BUS-B-A589DC55,RELATED,"Same category/mfg, different size/specs",NONE,CAT-BRG
NEC-FLG-62350,NEC-B-3862EE93,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-FLG
BUS-PIP-60833,BUS-B-0969722C,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-PIP
NEC-PMP-14105,NEC-B-66C4FF42,RELATED,"Same category/mfg, different size/specs",NONE,CAT-PMP
CPI-MTR-31070,CPI-B-5CCBE69C,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-MTR
CPI-DUP-26559,CPI-B-19B8FC82,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-INS
BUS-ELC-78040,BUS-B-ACF1812B,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-ELC
CPI-DUP-42614,CPI-B-184C5938,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
GME-ELC-79942,GME-B-43BD82F1,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-ELC
CPI-BRG-39368,CPI-B-E8956CB5,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
GME-LUB-37937,GME-B-99B74A1F,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-LUB
GME-BRG-31748,GME-B-80DFD749,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-BRG
BUS-PPE-10243,BUS-B-25D643FB,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-PPE
AHM-ELC-82281,AHM-B-428D2619,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-ELC
GME-BRG-16558,GME-B-86AD6C3F,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
GME-BRG-70699,GME-B-2680F509,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
AHM-DUP-25117,AHM-B-EFD85C56,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-LUB
NEC-CBL-27758,NEC-B-BBDD7E0C,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-CBL
CPI-BRG-74381,CPI-B-957E6904,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
CPI-ELC-29331,CPI-B-7890C018,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-ELC
CPI-FLG-99233,CPI-B-0D9BFDA6,RELATED,"Same category/mfg, different size/specs",NONE,CAT-FLG
AHM-PIP-27906,AHM-B-B8228136,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-PIP
CPI-PPE-67176,CPI-B-F6A0C8B3,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-PPE
CPI-CBL-21167,CPI-B-3392C45C,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-CBL
CPI-PPE-13047,CPI-B-08BE0B8D,RELATED,"Same category/mfg, different size/specs",NONE,CAT-PPE
BUS-BRG-47759,BUS-B-797A75A8,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
CPI-PIP-22717,CPI-B-35AA718D,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-PIP
AHM-FLG-90529,AHM-B-27B8D78C,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-FLG
BUS-LUB-61756,BUS-B-AF3FC586,RELATED,"Same category/mfg, different size/specs",NONE,CAT-LUB
NEC-DUP-78353,NEC-B-865A0E5A,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-FLG
NEC-PPE-95692,NEC-B-61C70405,RELATED,"Same category/mfg, different size/specs",NONE,CAT-PPE
AHM-CBL-22989,AHM-B-E6DD342B,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-CBL
BUS-GSK-96412,BUS-B-47FBFB1A,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-GSK
GME-FLG-19971,GME-B-5280898D,RELATED,"Same category/mfg, different size/specs",NONE,CAT-FLG
NEC-LUB-89365,NEC-B-658C4804,RELATED,"Same category/mfg, different size/specs",NONE,CAT-LUB
NEC-BRG-96033,NEC-B-3F6B4D10,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
CPI-INS-70067,CPI-B-6F24EF81,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-INS
GME-BRG-28590,GME-B-7113E097,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
CPI-LUB-39135,CPI-B-F03BE84F,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-LUB
AHM-BRG-47090,AHM-B-3F5AB439,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
CPI-PMP-16880,CPI-B-69F9986F,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-PMP
NEC-ELC-89875,NEC-B-F4F88A9F,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-ELC
CPI-FST-13962,CPI-B-209391CA,RELATED,"Same category/mfg, different size/specs",NONE,CAT-FST
CPI-ELC-19278,CPI-B-3A5523B5,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-ELC
NEC-ELC-16279,NEC-B-181AFCD9,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-ELC
NEC-GSK-27738,NEC-B-F91F3A35,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-GSK
GME-INS-88850,GME-B-CF54A31E,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-INS
GME-DUP-66111,GME-B-73383FB3,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-LUB
AHM-GSK-42527,AHM-B-22601EAC,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-GSK
CPI-FLG-70407,CPI-B-B41CA832,RELATED,"Same category/mfg, different size/specs",NONE,CAT-FLG
GME-FLG-26285,GME-B-5AE1107E,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-FLG
CPI-GSK-63295,CPI-B-9A693727,RELATED,"Same category/mfg, different size/specs",NONE,CAT-GSK
AHM-PIP-84207,AHM-B-463CA158,RELATED,"Same category/mfg, different size/specs",NONE,CAT-PIP
GME-PMP-86641,GME-B-E7675FA9,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-PMP
NEC-INS-44878,NEC-B-1CFD3F25,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-INS
GME-DUP-87973,GME-B-79D333CC,RELATED,"Same category/mfg, different size/specs",NONE,CAT-CBL
NEC-LUB-68453,NEC-B-F6EA6D72,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-LUB
GME-BRG-11005,GME-B-F0190136,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
AHM-DUP-22758,AHM-B-AAA03715,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
CPI-FLG-77540,CPI-B-A73EDB7B,RELATED,"Same category/mfg, different size/specs",NONE,CAT-FLG
NEC-GSK-79772,NEC-B-561BF4E5,RELATED,"Same category/mfg, different size/specs",NONE,CAT-GSK
CPI-DUP-71927,CPI-B-19F881B7,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-FLG
AHM-ELC-65435,AHM-B-26C48DD5,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-ELC
CPI-BRG-23483,CPI-B-85CDE3B7,REQUIRES_ENGINEERING_REVIEW,Mismatched conditionally critical attribute,seal_type (Conditional),CAT-BRG
GME-PIP-29785,GME-B-FA9394F9,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-PIP
NEC-FLG-71315,NEC-B-14B7AA9F,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-FLG
GME-DUP-86037,GME-B-7902FD3C,RELATED,"Same category/mfg, different size/specs",NONE,CAT-CBL
AHM-PPE-47571,AHM-B-916C39B2,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-PPE
CPI-PMP-90249,CPI-B-2F9588E9,NOT_EQUIVALENT,"Same category, critical attribute conflict",NONE,CAT-PMP
AHM-CFL-54341,AHM-B-4D82ABF8,NOT_EQUIVALENT,Completely different category,CATEGORY_MISMATCH,CAT-PMP
GME-DUP-23093,GME-B-79372155,NEAR_DUPLICATE,"Identical MPN, perturbed desc, dropped minor field",NONE,CAT-PMP
BUS-MTR-41163,BUS-B-C891C736,NOT_EQUIVALENT,"Same category, critical attribute conflict",voltage,CAT-MTR
BUS-PIP-40882,BUS-B-AE9B1EF4,FUNCTIONALLY_EQUIVALENT,"Different Manufacturer/MPN, identical critical attributes",NONE,CAT-PIP
NEC-PPE-48242,NEC-B-B0D2835F,EXACT_DUPLICATE,"Identical MPN/Attributes, perturbed description",NONE,CAT-PPE
